currency,asset,exchange,strategy,profit[%],"profit/day[%]","yearly profit[%]","sharpe ratio","market change[%]",profit-market,"trade amount","trades/day","wining trades", "losses trades","percentage wins[%]","best win[%]","median wins[%]","worst loss[%]","median loss[%]","avg. exposed duration[min]","candle size","warmup period","days of dataset","backtest start","dataset from","dataset to","price volality",volume,"volume/day","overall trades","overall trades/day",note
BNB,NEBL,binance,RSI_BULL_BEAR,17.51,0.31,110,-0.23,-37.68,55.19,44,0.77,10,12,45.45,2.11,0.18,-0.66,-0.23,1338.18,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",16.7,685322,11825,74810,1290,"shorter period"
ETH,FUEL,binance,RSI_BULL_BEAR,17.86,0.31,112,-0.43,-28.59,46.45,47,0.82,11,12,47.83,0.78,0.25,-1.15,-0.13,1200,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:01:00","2018-03-25 23:58:00",15.3,234207433,4041107,163272,2817,"shorter period"
ETH,VIB,binance,RSI_BULL_BEAR,11.88,0.21,74,-0.36,12.57,-0.69,47,0.82,11,12,47.83,0.97,0.25,-1.06,-0.15,1343.04,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",15.1,186568300,3219084,264149,4557,"shorter period"
BNB,WTC,binance,HL,-36.01,-0.63,-226,-0.64,-61.73,25.72,11,0.19,4,1,80.00,0.32,0.15,0.00,0,644,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:54:00",24.1,561907,9695,83463,1440,"shorter period"
ETH,FUEL,binance,HL,-19.03,-0.33,-119,-1.13,-28.59,9.56,11,0.19,3,2,60.00,0.28,0.08,0.00,0,436,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:01:00","2018-03-25 23:58:00",15.3,234207433,4041107,163272,2817,"shorter period"
BNB,NEBL,binance,HL,26.48,0.46,166,-0.42,-37.68,64.16,14,0.25,7,0,100.00,0.39,0.14,0.07,n/a,784.29,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",16.7,685322,11825,74810,1290,"shorter period"
BNB,NULS,binance,HL,13.42,0.24,84,-0.88,-35.94,49.36,14,0.25,5,2,71.43,0.32,0.07,-0.02,-0.02,662.86,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",16.6,1928726,33278,55279,953,"shorter period"
ETH,VIB,binance,HL,88.86,1.56,559,0.57,12.57,76.30,10,0.18,5,0,100.00,2.06,0.45,0.19,n/a,1724,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",15.1,186568300,3219084,264149,4557,"shorter period"
BNB,WTC,binance,CCI_custom,-68.61,-1.20,-432,-0.68,-61.73,-6.88,81,1.42,16,24,40.00,0.48,0.14,-0.45,-0.2,1656.75,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:54:00",24.1,561907,9695,83463,1440,"shorter period"
ETH,FUEL,binance,CCI_custom,13.87,0.24,87,-0.42,-28.59,42.46,83,1.46,22,19,53.66,0.94,0.25,-0.57,-0.38,1712.2,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:01:00","2018-03-25 23:58:00",15.3,234207433,4041107,163272,2817,"shorter period"
BNB,NEBL,binance,CCI_custom,-20.90,-0.37,-131,-0.44,-37.68,16.78,99,1.74,26,23,53.06,0.84,0.29,-1.05,-0.39,1407.35,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",16.7,685322,11825,74810,1290,"shorter period"
BNB,NULS,binance,CCI_custom,102.12,1.79,643,-0.09,-35.94,138.07,87,1.53,23,20,53.49,3.04,0.55,-2.43,-0.5,1606.51,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",16.6,1928726,33278,55279,953,"shorter period"
ETH,VIB,binance,CCI_custom,55.15,0.97,347,-0.31,12.57,42.59,85,1.49,22,20,52.38,0.96,0.3,-0.71,-0.13,1673.33,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",15.1,186568300,3219084,264149,4557,"shorter period"
ETH,AST,binance,BBRSI,-57.48,-1.01,-361,-2.22,-34.89,-22.59,175,3.07,36,51,41.38,0.08,0.03,-0.51,-0.02,133.33,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",30.6,80937546,1396561,241745,4171,"shorter period"
ETH,AST,binance,RSI_BULL_BEAR,-28.35,-0.50,-178,-0.44,-34.89,6.54,35,0.61,7,10,41.18,0.65,0.11,-0.83,-0.12,1468.24,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",30.6,80937546,1396561,241745,4171,"shorter period"
ETH,AST,binance,HL,25.61,0.45,161,0.19,-34.89,60.51,8,0.14,2,2,50.00,0.99,0.56,-0.01,-0.01,1825,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",30.6,80937546,1396561,241745,4171,"shorter period"
ETH,AST,binance,CCI_custom,-50.97,-0.89,-320,-0.59,-34.89,-16.08,89,1.56,20,24,45.45,0.53,0.17,-0.47,-0.26,1548.86,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:03:00","2018-03-25 23:58:00",30.6,80937546,1396561,241745,4171,"shorter period"
