currency,asset,exchange,strategy,profit,profit daily,yearly profit,market change,profit-market,trade amount,trades daily,wining trades,losses trades,candle size,warmup period,days of dataset,backtest start,dataset from,dataset to,strategy config
USD,ZRX,bitfinex,neuralnet,-36%,-18.00%,-309%,-64%,28,64,32,NA,NA,15,20,2,2018-02-25 22:02:31,2018-01-08 23:01:00,2018-02-20 22:05:00," threshold_buy:1.0, threshold_sell:-1.0,  price_buffer_len:100,  learning_rate:0.01, scale:1, momentum:0.1, decay:0.1, min_predictions:1000 }  // Strategies settings. If you add new strategy You must add values from .toml file below! config.saichovsky = { 	profitLimit: 1.05, 	stopLossLimit: 0, 	buyAtDrop: 0.98, 	buyAtRise: 1.01 "
USD,QSH,bitfinex,neuralnet,-5%,-2.50%,-35%,22%,-27,67,33.5,NA,NA,15,20,2,2018-02-25 22:02:38,2017-12-31 12:48:00,2018-02-20 22:16:00," threshold_buy:1.0, threshold_sell:-1.0,  price_buffer_len:100,  learning_rate:0.01, scale:1, momentum:0.1, decay:0.1, min_predictions:1000 }  // Strategies settings. If you add new strategy You must add values from .toml file below! config.saichovsky = { 	profitLimit: 1.05, 	stopLossLimit: 0, 	buyAtDrop: 0.98, 	buyAtRise: 1.01 "
